Instance,Variables,Integers,Binaries,Type
shiftreg5-1,48736,0,10608,MBP
neos-520729,91149,0,30708,MBP
dg012142,2080,0,640,MBP
core2536-691,15293,0,15284,MBP
fastxgemm-n3r21s3t6,18684,0,378,MBP
fastxgemm-n3r22s4t6,19539,0,396,MBP
fastxgemm-n2r7s4t1,904,0,56,MBP
fastxgemm-n3r23s5t6,20394,0,414,MBP
fastxgemm-n2r6s0t2,784,0,48,MBP
k1mushroomi,48104,31685,16419,MIP
cvrpp-n16k8vrpi,18294,531,2832,MIP
mspsphard01i,21531,10663,10868,MIP
shipschedule6shipsmixi,18770,7104,10310,MIP
cvrpsimple2i,4166,243,648,MIP
ghoulomb4-9-10i,43424,27834,15590,MIP
stoch-vrpvrp-s5v2c8vrp-v2c8i,8436,734,1485,MIP
mrcpspj30-53-3i,24220,8938,6020,MIP
gfd-schedulen25f5d20m10k3i,30916,14556,14783,MIP
diameterc-mstc-v20a190d5i,10613,4352,5053,MIP
mspsphard03i,32266,13663,18603,MIP
mario-t-hard5i,73475,30948,31022,MIP
diameterc-msts-v40a100d5i,14629,5304,5611,MIP
amaze22012-06-28i,12691,914,4376,MIP
l2p2i,38196,24938,13113,MIP
gfd-schedulen55f2d50m30k3i,90158,42209,40622,MIP
shipschedule3shipsi,10513,4343,4817,MIP
elitserienhandball14i,32541,6938,16938,MIP
shipschedule8shipsmixuci,25206,9763,13635,MIP
rpp22falsei,25462,15056,10276,MIP
mappingmesh3x3mpeg2i,10470,4369,4739,MIP
amaze22012-07-04i,31237,1603,10654,MIP
mrcpspj30-15-5i,24376,8921,6192,MIP
elitserienhandball3i,32807,6973,16966,MIP
elitserienhandball11i,32679,6952,16944,MIP
oocsp-racks030e6cci,50862,18079,32783,MIP
elitserienhandball13i,32791,6976,16976,MIP
fillomino7x7-0i,12877,4443,4821,MIP
amaze22012-03-15i,94351,2770,31870,MIP
mrcpspj30-17-10i,26381,10901,7386,MIP
oocsp-racks030f7cci,50859,18080,32779,MIP
fjspeasy01i,17847,8998,8849,MIP
splice1k1i,19513,13009,6504,MIP
maritime-jg3d9,92261,0,36960,MBP
mc11,3040,0,1520,MBP
graphdraw-domain,254,20,180,MIP
graphdraw-mainerd,2050,62,1860,MIP
graphdraw-gemcutter,166,16,112,MIP
graphdraw-opmanager,4812,96,4512,MIP
graphdraw-grafo2,9258,134,8844,MIP
danoint,521,0,56,MBP
gsvm2rl12,2001,0,500,MBP
gsvm2rl9,801,0,200,MBP
gsvm2rl5,401,0,100,MBP
gsvm2rl3,241,0,60,MBP
gsvm2rl11,2001,0,500,MBP
gmut-76-40,24338,0,24332,MBP
gmut-76-50,68865,0,68859,MBP
opm2-z12-s8,10800,0,10800,BP
opm2-z10-s4,6250,0,6250,BP
opm2-z8-s0,3200,0,3200,BP
opm2-z7-s8,2023,0,2023,BP
opm2-z6-s1,1350,0,1350,BP
pw-myciel4,1059,1,1058,MIP
reblock166,1660,0,1660,BP
timtab1,397,94,77,MIP
square47,95030,43,94987,MIP
square31,28860,30,28830,MIP
square41,62234,37,62197,MIP
square37,49320,36,49284,MIP
square23,11660,22,11638,MIP
neos-952987,31329,0,31329,BP
gasprod2-1,29568,0,7389,MBP
gasprod2-2,29568,0,6826,MBP
pg,2700,0,100,MBP
fhnw-binschedule2,30973,468,30504,MIP
pigeon-16,1072,0,928,MBP
pigeon-20,1580,0,1400,MBP
pigeon-08,344,0,272,MBP
csched007,1758,0,1457,MBP
rococoB10-011000,4456,136,4320,MIP
a1c1s1,3648,0,192,MBP
uccase9,33242,0,8064,MBP
uccase12,62529,0,9072,MBP
uccase8,37413,0,9576,MBP
uccase7,33020,0,7224,MBP
set3-09,4019,0,1424,MBP
set3-16,4019,0,1424,MBP
satellites2-40,35378,0,34324,MBP
satellites2-25,35378,0,34324,MBP
satellites3-25,81681,0,79961,MBP
satellites4-25,95637,0,93747,MBP
ns1644855,30200,0,10000,MBP
polygonpack4-15,44237,0,44207,MBP
polygonpack3-15,44237,0,44207,MBP
polygonpack4-7,10788,0,10774,MBP
polygonpack5-15,48163,0,48133,MBP
polygonpack4-10,20537,0,20517,MBP
chromaticindex256-8,18432,0,18432,BP
chromaticindex32-8,2304,0,2304,BP
chromaticindex128-5,9216,0,9216,BP
chromaticindex512-7,36864,0,36864,BP
chromaticindex1024-7,73728,0,73728,BP
assign1-10-4,572,0,520,MBP
assign1-5-8,156,0,130,MBP
control30-5-10-4,1960,0,150,MBP
control20-5-10-5,1310,0,100,MBP
control30-3-2-3,332,0,90,MBP
binkar10-1,2298,0,170,MBP
blp-ar98,16021,0,15806,MBP
hanoi5,3862,0,3862,BP
bley-xl1,5831,0,5831,BP
snip10x10-35r1budget17,47611,0,63,MBP
istanbul-no-cutoff,5282,0,30,MBP
30-70-45-095-100,10976,0,10975,MBP
leo1,6731,0,6730,MBP
rmatr200-p5,37816,0,200,MBP
pg5-34,2600,0,100,MBP
2club200v15p5scn,200,0,200,BP
eil33-2,4516,0,4516,BP
supportcase40,16440,0,2000,MBP
s1234,2945,0,2945,BP
reblock420,4200,0,4200,BP
